Start,End,Label,Start Sample,End Sample
0.051534,0.068135,Fibrillation,568.171511627907,751.1933139534884
0.205497,0.220796,Fibrillation,2265.609011627907,2434.2761627906975
0.334721,0.351647,Fibrillation,3690.3081395348836,3876.9186046511627
0.360762,0.375084,Fibrillation,3977.4011627906975,4135.302325581395
0.514399,0.531976,Fibrillation,5671.25,5865.037790697675
0.669012,0.681381,Fibrillation,7375.864825581395,7512.2340116279065
0.820371,0.837948,Fibrillation,9044.593023255813,9238.380813953489
0.717838,0.728254,PSW,7914.164244186046,8029.001453488372
0.731183,0.740948,PSW,8061.299418604651,8168.959302325582
0.646878,0.656318,PSW,7131.835755813954,7235.906976744186
0.634834,0.642646,PSW,6999.055232558139,7085.183139534884
0.978487,0.989283,Fibrillation,10787.81976744186,10906.845930232557
1.130767,1.143268,Fibrillation,12466.715116279069,12604.534883720931
1.283616,1.297537,Fibrillation,14151.875,14305.356104651162
1.438141,1.451164,Fibrillation,15855.511627906977,15999.093023255813
1.750699,1.762925,Fibrillation,19301.46511627907,19436.25581395349
1.817942,1.829902,Fibrillation,20042.813953488374,20174.67441860465
1.906713,1.917875,Fibrillation,21021.511627906977,21144.58139534884
2.062420,2.072243,Fibrillation,22738.1824127907,22846.47965116279
2.218318,2.228775,Fibrillation,24456.964389534885,24572.248546511626
2.528848,2.540255,Fibrillation,27880.554505813954,28006.319040697676
2.373900,2.385624,Fibrillation,26172.252906976744,26301.51090116279
2.397031,2.413192,PSW,26427.27543604651,26605.441860465115
2.456602,2.466108,PSW,27084.04578488372,27188.84956395349
2.638167,2.647673,PSW,29085.79796511628,29190.601744186046
0.455513,0.470709,PSW,5022.041424418605,5189.572674418605
0.599897,0.609988,PSW,6613.873546511628,6725.122093023256
2.686202,2.693834,Fibrillation,29615.383720930233,29699.522529069767
2.995188,3.004619,Fibrillation,33021.95348837209,33125.93023255814
2.840131,2.849008,Fibrillation,31312.45348837209,31410.313953488374
3.147748,3.160230,Fibrillation,34703.93023255814,34841.54651162791
2.954135,2.964399,PSW,32569.3488372093,32682.5
3.303696,3.315740,Fibrillation,36423.25872093023,36556.039244186046
3.453427,3.462542,Fibrillation,38074.04360465116,38174.526162790695
3.460589,3.468726,Fibrillation,38152.99418604651,38242.710755813954
3.616504,3.626595,Fibrillation,39871.9636627907,39983.21220930232
3.389231,3.398750,PSW,37366.282703488374,37471.22165697675
3.192407,3.201925,PSW,35196.295058139534,35301.23401162791
3.377674,3.385152,PSW,37238.85683139535,37321.30886627907
2.794731,2.803730,PSW,30811.914244186046,30911.1300872093
