Start,End,Label,Start Sample,End Sample
0.000984,0.008203,PSW,10.853658536585366,90.44715447154472
0.008203,0.016407,PSW,90.44715447154472,180.89430894308944
0.048894,0.057754,PSW,539.0650406504066,636.7479674796748
0.057754,0.062349,PSW,636.7479674796748,687.3983739837398
0.067271,0.071537,PSW,741.6666666666666,788.69918699187
0.074162,0.081053,PSW,817.6422764227642,893.6178861788618
0.070552,0.076131,Fibrillation,777.8455284552846,839.349593495935
0.329137,0.335372,Fibrillation,3628.7398373983738,3697.479674796748
0.332747,0.340950,PSW,3668.5365853658536,3758.9837398373984
0.361952,0.368187,PSW,3990.528455284553,4059.268292682927
0.379672,0.387876,PSW,4185.8943089430895,4276.341463414634
0.393455,0.403956,PSW,4337.845528455285,4453.617886178862
0.450553,0.460398,PSW,4967.357723577235,5075.8943089430895
0.460398,0.473852,PSW,5075.8943089430895,5224.227642276423
0.475493,0.484025,PSW,5242.317073170731,5336.382113821138
0.258912,0.270069,PSW,2854.512195121951,2977.520325203252
0.283852,0.294025,PSW,3129.471544715447,3241.6260162601625
0.190656,0.202142,PSW,2101.991869918699,2228.6178861788617
0.213299,0.223144,PSW,2351.6260162601625,2460.162601626016
0.135527,0.147340,PSW,1494.1869918699188,1624.4308943089432
0.148653,0.157841,PSW,1638.9024390243903,1740.2032520325204
0.143730,0.152262,Fibrillation,1584.6341463414635,1678.69918699187
0.611677,0.619224,Fibrillation,6743.739837398374,6826.951219512195
0.616599,0.623490,PSW,6798.008130081301,6873.983739837398
0.631366,0.638257,PSW,6960.8130081300815,7036.788617886179
0.666806,0.676651,PSW,7351.544715447155,7460.081300813008
0.750813,0.755736,PSW,8277.723577235773,8331.9918699187
0.755736,0.763611,PSW,8331.9918699187,8418.821138211382
0.808240,0.816444,PSW,8910.853658536585,9001.30081300813
0.870261,0.878465,PSW,9594.634146341465,9685.081300813008
0.864683,0.870917,PSW,9533.130081300813,9601.869918699187
0.929329,0.934907,PSW,10245.853658536585,10307.357723577235
0.934907,0.943111,PSW,10307.357723577235,10397.80487804878
0.862385,0.868948,Fibrillation,9507.80487804878,9580.162601626016
0.507324,0.519466,PSW,5593.252032520325,5727.113821138211
0.566063,0.575908,PSW,6240.8536585365855,6349.390243902439
0.575908,0.582799,PSW,6349.390243902439,6425.365853658536
0.582143,0.589362,PSW,6418.130081300813,6497.723577235773
0.433161,0.439068,PSW,4775.609756097561,4840.731707317073
0.625459,0.632022,PSW,6895.691056910569,6968.048780487805
1.068967,1.082262,PSW,11785.363143631435,11931.948509485095
1.101763,1.112399,PSW,12146.940379403793,12264.208672086721
1.112399,1.122740,PSW,12264.208672086721,12378.219512195123
1.147855,1.160559,PSW,12655.10298102981,12795.173441734418
1.275198,1.284948,PSW,14059.065040650406,14166.560975609756
1.669933,1.679979,PSW,18411.0216802168,18521.775067750677
1.653388,1.662547,PSW,18228.60433604336,18329.585365853658
1.642456,1.652501,PSW,18108.07859078591,18218.831978319784
1.443906,1.455725,PSW,15919.070460704606,16049.368563685637
1.471975,1.481134,PSW,16228.528455284553,16329.509485094852
1.480543,1.487930,PSW,16322.9945799458,16404.43089430894
0.980624,0.990374,PSW,10811.384823848239,10918.880758807589
0.996874,1.008102,PSW,10990.544715447155,11114.327913279132
1.233834,1.245357,PSW,13603.021680216802,13730.062330623306
0.969396,0.977965,Fibrillation,10687.60162601626,10782.067750677506
1.337836,1.347881,Fibrillation,14749.644986449865,14860.398373983739
1.565045,1.576272,Fibrillation,17254.62601626016,17378.409214092142
1.615864,1.627092,PSW,17814.90785907859,17938.691056910568
1.568295,1.577750,PSW,17290.457994579945,17394.696476964767
0.973237,0.980033,PSW,10729.948509485095,10804.869918699187
1.341086,1.349654,PSW,14785.476964769648,14879.943089430893
1.393973,1.403133,PSW,15368.560975609756,15469.542005420055
1.500930,1.510089,PSW,16547.758807588078,16648.739837398374
1.702434,1.710116,PSW,18769.341463414632,18854.035230352303
2.060359,2.072703,PSW,22715.459349593497,22851.560975609755
1.867250,1.876656,PSW,20586.441056910568,20690.13753387534
1.786715,1.794063,PSW,19698.53997289973,19779.552845528455
1.773195,1.781718,PSW,19549.47628726287,19643.451219512193
1.802881,1.810229,PSW,19876.768292682926,19957.78116531165
1.834331,1.839915,PSW,20223.503387533874,20285.073170731706
1.839328,1.846382,PSW,20278.59214092141,20356.364498644987
1.836388,1.843736,Fibrillation,20246.18699186992,20327.199864498645
2.040372,2.046838,Fibrillation,22495.10433604336,22566.39566395664
2.043605,2.050071,PSW,22530.75,22602.041327913277
2.120907,2.130019,PSW,23383.0054200542,23483.46138211382
2.147654,2.158235,PSW,23677.892276422765,23794.55081300813
2.132958,2.138836,PSW,23515.86653116531,23580.676829268294
2.138836,2.147066,PSW,23580.676829268294,23671.411246612464
2.188216,2.197327,PSW,24125.083333333336,24225.539295392955
2.252585,2.264048,PSW,24834.756097560974,24961.136178861787
2.276981,2.284329,PSW,25103.71883468835,25184.73170731707
2.286974,2.299025,PSW,25213.896341463413,25346.757452574526
1.948373,1.955722,PSW,21480.823170731706,21561.836043360432
1.955722,1.962482,PSW,21561.836043360432,21636.36788617886
1.962482,1.971006,PSW,21636.36788617886,21730.342818428184
2.009510,2.022442,PSW,22154.85027100271,22297.432926829268
2.363787,2.377496,PSW,26060.7554200542,26211.89430894309
2.827544,2.838912,PSW,31173.67344173442,31299.0081300813
3.012779,3.030165,PSW,33215.89159891599,33407.57994579946
3.050227,3.060592,PSW,33628.75880758808,33743.03455284553
3.108406,3.120777,PSW,34270.17750677507,34406.57113821138
3.199017,3.212057,PSW,35269.168699186994,35412.93495934959
3.211388,3.217741,PSW,35405.5623306233,35475.60230352303
3.217741,3.223091,PSW,35475.60230352303,35534.58333333333
3.223091,3.230447,PSW,35534.58333333333,35615.68224932249
2.639968,2.650333,PSW,29105.65108401084,29219.926829268294
2.617566,2.627931,PSW,28858.668021680216,28972.94376693767
2.578780,2.587808,PSW,28431.055555555555,28530.586043360432
2.587808,2.597170,PSW,28530.586043360432,28633.802845528455
2.537319,2.547685,PSW,27973.952574525745,28088.228319783197
2.447042,2.455736,PSW,26978.647696476964,27074.4918699187
2.943566,2.959950,PSW,32452.824525745258,32633.453929539297
2.882379,2.894415,PSW,31778.228997289974,31910.93631436314
2.896756,2.908793,PSW,31936.74051490515,32069.44783197832
2.860311,2.871679,PSW,31534.932249322494,31660.266937669378
2.783074,2.792101,PSW,30683.393631436316,30782.924119241194
2.440355,2.447711,Fibrillation,26904.921409214094,26986.02032520325
2.429321,2.442027,PSW,26783.27303523035,26923.35298102981
2.440021,2.451723,PSW,26901.23509485095,27030.256097560974
2.708846,2.721217,PSW,29865.03184281843,30001.425474254742
2.742282,2.756325,PSW,30233.66327913279,30388.488482384826
3.724106,3.735098,PSW,41058.27777777778,41179.46341463415
3.735098,3.747154,PSW,41179.46341463415,41312.376693766935
3.747154,3.753182,PSW,41312.376693766935,41378.833333333336
3.753182,3.763110,PSW,41378.833333333336,41488.29132791328
3.381939,3.392577,PSW,37285.88617886179,37403.16260162601
3.391867,3.399668,PSW,37395.344173441736,37481.34688346883
3.429098,3.439735,PSW,37805.81165311653,37923.08807588076
3.934016,3.942880,PSW,43372.5325203252,43470.26287262872
3.910969,3.918060,PSW,43118.433604336045,43196.617886178865
3.916996,3.923733,PSW,43184.89024390244,43259.165311653116
3.921606,3.933307,PSW,43235.71002710027,43364.71409214092
3.888985,3.905295,PSW,42876.0623306233,43055.88617886179
3.554264,3.559937,PSW,39185.76422764228,39248.31165311653
3.557810,3.565256,PSW,39224.856368563684,39306.949864498645
3.564192,3.571284,PSW,39295.22222222222,39373.40650406504
3.568801,3.581212,PSW,39346.04200542005,39482.86449864499
3.589722,3.603905,PSW,39576.68563685637,39733.05420054201
3.505332,3.520934,PSW,38646.292682926825,38818.29810298103
3.662764,3.675529,PSW,40381.9837398374,40522.71544715447
2.985877,2.998287,PSW,32919.29403794038,33056.11653116531
3.268475,3.280176,PSW,36034.9376693767,36163.94173441734
3.298614,3.313860,PSW,36367.22086720867,36535.31707317073
3.357828,3.368465,PSW,37020.05962059621,37137.33604336043
3.816296,3.826934,PSW,42074.67344173442,42191.949864498645
3.188340,3.196495,PSW,35151.455284552845,35241.36720867208
4.286182,4.300922,PSW,47255.166666666664,47417.666666666664
4.265774,4.272955,PSW,47030.166666666664,47109.333333333336
4.272577,4.283159,PSW,47105.166666666664,47221.833333333336
4.383310,4.394648,PSW,48326.0,48451.0
4.461541,4.474391,PSW,49188.5,49330.16666666667
3.965321,3.981194,PSW,43717.666666666664,43892.666666666664
4.053378,4.065094,PSW,44688.5,44817.666666666664
4.070763,4.080589,PSW,44880.166666666664,44988.5
4.109312,4.121027,PSW,45305.166666666664,45434.333333333336
4.120272,4.130098,PSW,45426.0,45534.333333333336
4.097596,4.108934,PSW,45176.0,45301.0
4.153529,4.165623,PSW,45792.666666666664,45926.0
4.220801,4.228359,PSW,46534.333333333336,46617.666666666664
4.228359,4.237808,PSW,46617.666666666664,46721.833333333336
4.542040,4.553756,PSW,50076.0,50205.16666666667
4.574164,4.581723,PSW,50430.16666666667,50513.5
4.613847,4.621405,PSW,50867.66666666667,50951.0
4.639546,4.651640,PSW,51151.0,51284.33333333333
4.622917,4.628586,Fibrillation,50967.66666666667,51030.16666666667
4.508783,4.515585,Fibrillation,49709.33333333333,49784.33333333333
4.513696,4.522010,PSW,49763.5,49855.16666666667
4.626696,4.633499,PSW,51009.33333333333,51084.33333333333
4.424504,4.432441,PSW,48780.166666666664,48867.666666666664
4.421481,4.427528,Fibrillation,48746.833333333336,48813.5
4.180740,4.186031,Fibrillation,46092.666666666664,46151.0
4.183764,4.190566,PSW,46126.0,46201.0
4.529191,4.539017,PSW,49934.33333333333,50042.66666666667
5.156092,5.168129,PSW,56845.92479674797,56978.632113821135
4.985569,4.997606,PSW,54965.904471544716,55098.61178861788
5.001953,5.013990,PSW,55146.533875338755,55279.24119241192
5.021346,5.035389,PSW,55360.340108401084,55515.165311653116
4.957149,4.963836,PSW,54652.56775067751,54726.29403794038
4.963836,4.974870,PSW,54726.29403794038,54847.942411924116
4.814711,4.829089,PSW,53082.19783197832,53240.7093495935
4.849150,4.858512,PSW,53461.88821138212,53565.105013550135
4.856841,4.864197,PSW,53546.67344173442,53627.772357723574
4.864197,4.874562,PSW,53627.772357723574,53742.04810298103
4.874562,4.885596,PSW,53742.04810298103,53863.69647696477
4.439560,4.447250,PSW,48946.15311653117,49030.93834688347
4.447250,4.456947,PSW,49030.93834688347,49137.84146341463
4.697351,4.703370,PSW,51788.3014905149,51854.65514905149
4.703035,4.708051,PSW,51850.96883468835,51906.2635501355
4.706379,4.715072,PSW,51887.83197831978,51983.676151761516
4.702032,4.708385,Fibrillation,51839.909891598916,51909.949864498645
5.176488,5.182172,Fibrillation,57070.78997289973,57133.457317073175
5.179498,5.184847,PSW,57103.966802168026,57162.94783197832
5.183176,5.192872,PSW,57144.5162601626,57251.41937669377
5.127672,5.137703,PSW,56532.58807588076,56643.17750677507
5.135028,5.146730,PSW,56613.68699186992,56742.70799457995
5.078521,5.087883,PSW,55990.699864498645,56093.916666666664
4.894289,4.904320,PSW,53959.5406504065,54070.13008130081
4.894958,4.901645,Fibrillation,53966.913279132794,54040.639566395665
4.722428,4.733128,PSW,52064.77506775068,52182.73712737127
4.712732,4.722762,PSW,51957.87195121951,52068.46138211382
5.253725,5.257738,PSW,57922.32859078591,57966.56436314363
5.257738,5.262419,PSW,57966.56436314363,58018.17276422764
5.261416,5.269775,PSW,58007.11382113821,58099.2716802168
5.328708,5.337965,PSW,58749.0162601626,58851.06504065041
5.337965,5.349920,PSW,58851.06504065041,58982.87804878049
5.298626,5.306725,PSW,58417.35772357724,58506.650406504064
5.306725,5.312125,PSW,58506.650406504064,58566.17886178862
5.311353,5.321766,PSW,58557.67479674797,58672.47967479675
5.392344,5.403914,PSW,59450.60162601626,59578.16260162601
5.394658,5.400058,Fibrillation,59476.11382113821,59535.64227642276
4.795324,4.802266,Fibrillation,52868.455284552845,52944.9918699187
4.784525,4.794939,PSW,52749.39837398374,52864.20325203252
4.792625,4.804195,PSW,52838.69105691057,52966.25203252032
5.461682,5.470627,PSW,60215.04878048781,60313.66463414634
5.470627,5.476921,PSW,60313.66463414634,60383.060975609755
5.476921,5.487522,PSW,60383.060975609755,60499.939024390245
5.493485,5.507400,PSW,60565.68292682927,60719.08536585366
5.612749,5.624013,PSW,61880.560975609755,62004.743902439026
5.622356,5.630638,PSW,61986.48170731707,62077.792682926825
5.629976,5.639583,PSW,62070.48780487805,62176.40853658537
5.640246,5.649522,PSW,62183.71341463415,62285.98170731707
5.649522,5.661117,PSW,62285.98170731707,62413.81707317073
5.801251,5.812846,PSW,63958.79878048781,64086.634146341465
5.809533,5.818147,PSW,64050.10975609756,64145.07317073171
5.816159,5.826760,PSW,64123.15853658537,64240.03658536585
5.831729,5.847300,PSW,64294.82317073171,64466.48780487805
5.914883,5.924490,PSW,65211.58536585366,65317.506097560974
5.930453,5.939729,PSW,65383.25,65485.51829268293
5.956625,5.968220,PSW,65671.79268292683,65799.62804878049
5.979152,5.987766,PSW,65920.15853658537,66015.12195121951
5.998367,6.010956,PSW,66132.0,66270.79268292683
6.079532,6.087814,PSW,67026.84756097561,67118.15853658537
6.107692,6.120280,PSW,67337.30487804877,67476.09756097561
6.145790,6.157053,PSW,67757.33536585365,67881.51829268293
5.751558,5.757852,Fibrillation,63410.93292682927,63480.329268292684
5.880097,5.887386,Fibrillation,64828.079268292684,64908.432926829264
5.990747,5.996048,Fibrillation,66047.99390243902,66106.43292682926
5.762822,5.772429,PSW,63535.115853658535,63641.03658536585
5.780049,5.784687,PSW,63725.042682926825,63776.17682926829
5.784687,5.790319,PSW,63776.17682926829,63838.26829268293
5.664562,5.679205,PSW,62451.80216802168,62613.238482384826
6.164089,6.175385,PSW,67959.08672086721,68083.62330623306
6.215129,6.223497,PSW,68521.80758807588,68614.05691056911
6.229772,6.240231,PSW,68683.24390243902,68798.55555555556
6.261150,6.275792,PSW,69029.17886178862,69190.61517615177
6.316792,6.323486,PSW,69642.63685636857,69716.43631436315
6.324741,6.329343,PSW,69730.27371273712,69781.0108401084
6.329343,6.339802,PSW,69781.0108401084,69896.32249322493
6.320557,6.328925,Fibrillation,69684.14905149052,69776.39837398374
6.361139,6.372434,PSW,70131.55826558266,70256.09485094852
6.378710,6.391679,PSW,70325.28184281843,70468.26829268293
6.411342,6.425567,PSW,70685.054200542,70841.87804878049
6.486229,6.503801,PSW,71510.68563685636,71704.40921409214
6.510913,6.524301,PSW,71782.82113821138,71930.42005420054
6.561535,6.578270,PSW,72340.9295392954,72525.42818428185
6.648555,6.658596,PSW,73300.32249322493,73411.0216802168
6.658596,6.671146,PSW,73411.0216802168,73549.39566395665
6.671146,6.681187,PSW,73549.39566395665,73660.09485094852
6.681187,6.687881,PSW,73660.09485094852,73733.8943089431
6.190864,6.200487,Fibrillation,68254.28455284552,68360.37127371274
6.684534,6.692483,Fibrillation,73696.99457994581,73784.63143631436
6.689136,6.697085,PSW,73747.73170731707,73835.36856368564
