Start,End,Label,Start Sample,End Sample
0.004897,0.016764,PSW,54.0,184.83333333333334
0.016764,0.027474,PSW,184.83333333333334,302.9024390243902
0.046577,0.056417,PSW,513.5121951219512,622.0081300813008
0.057865,0.066548,PSW,637.9634146341464,733.6951219512196
0.084782,0.096360,PSW,934.7317073170732,1062.3739837398375
0.109095,0.120962,PSW,1202.780487804878,1333.6138211382113
0.150485,0.155984,PSW,1659.10162601626,1719.7317073170732
0.143538,0.151932,PSW,1582.5162601626016,1675.0569105691056
0.174798,0.190427,PSW,1927.1504065040651,2099.467479674797
0.189849,0.198532,PSW,2093.0853658536585,2188.817073170732
0.198532,0.212135,PSW,2188.817073170732,2338.79674796748
0.249183,0.256998,PSW,2747.2520325203254,2833.410569105691
0.274364,0.282179,PSW,3024.8739837398375,3111.032520325203
0.281022,0.289994,PSW,3098.268292682927,3197.191056910569
0.294046,0.307071,PSW,3241.8658536585367,3385.4634146341464
0.322122,0.335436,PSW,3551.39837398374,3698.1869918699185
0.337751,0.350776,PSW,3723.7154471544713,3867.3130081300815
0.349618,0.362354,PSW,3854.548780487805,3994.9552845528456
0.375668,0.387245,PSW,4141.743902439024,4269.386178861789
0.403165,0.412716,PSW,4444.8943089430895,4550.19918699187
0.412716,0.424294,PSW,4550.19918699187,4677.841463414634
0.389561,0.399402,PSW,4294.914634146341,4403.410569105691
0.369011,0.374221,PSW,4068.349593495935,4125.788617886179
0.262787,0.269733,PSW,2897.231707317073,2973.817073170732
0.269733,0.274654,PSW,2973.817073170732,3028.0650406504064
0.028342,0.035867,Fibrillation,312.4756097560976,395.4430894308943
0.076099,0.084493,Fibrillation,839.0,931.540650406504
0.226607,0.233843,Fibrillation,2498.349593495935,2578.1260162601625
0.440502,0.458737,PSW,4856.540650406504,5057.577235772358
0.502152,0.514888,PSW,5536.235772357723,5676.642276422765
0.525886,0.533701,PSW,5797.90243902439,5884.0609756097565
0.533701,0.545279,PSW,5884.0609756097565,6011.70325203252
0.551646,0.564382,PSW,6081.90650406504,6222.3130081300815
0.564382,0.578275,PSW,6222.3130081300815,6375.483739837398
0.594773,0.601719,PSW,6557.373983739837,6633.959349593496
0.601719,0.608087,PSW,6633.959349593496,6704.162601626016
0.613876,0.625453,PSW,6767.983739837398,6895.626016260163
0.625453,0.641083,PSW,6895.626016260163,7067.943089430894
0.650924,0.665106,PSW,7176.4390243902435,7332.800813008131
0.663370,0.675526,PSW,7313.654471544715,7447.678861788618
0.682762,0.690287,PSW,7527.455284552845,7610.422764227642
0.689708,0.694050,PSW,7604.040650406504,7651.90650406504
0.756279,0.771041,PSW,8337.983739837398,8500.727642276423
0.770751,0.782039,PSW,8497.536585365853,8621.987804878048
0.784065,0.792748,PSW,8644.325203252032,8740.056910569107
0.792459,0.802879,PSW,8736.865853658537,8851.743902439024
0.802879,0.814456,PSW,8851.743902439024,8979.386178861789
0.817061,0.827770,PSW,9008.10569105691,9126.174796747968
0.824297,0.835006,PSW,9087.882113821139,9205.951219512195
0.851215,0.856425,PSW,9384.650406504064,9442.08943089431
0.889434,0.900723,PSW,9806.020325203252,9930.471544715447
0.925035,0.940376,PSW,10198.520325203252,10367.646341463415
0.947322,0.955716,PSW,10444.231707317073,10536.772357723577
0.955716,0.966714,PSW,10536.772357723577,10658.032520325203
0.966714,0.973661,PSW,10658.032520325203,10734.617886178861
0.973661,0.983502,PSW,10734.617886178861,10843.113821138211
0.984949,0.993922,PSW,10859.069105691056,10957.9918699187
1.009551,1.019103,PSW,11130.30894308943,11235.613821138211
1.044863,1.053546,PSW,11519.617886178861,11615.349593495936
