Start,End,Label,Start Sample,End Sample
0.037708,0.047617,PSW,415.7337398373984,524.9776422764228
0.047617,0.060002,PSW,524.9776422764228,661.5325203252032
0.167622,0.180284,PSW,1848.0426829268292,1987.6321138211383
0.200101,0.214964,PSW,2206.119918699187,2369.9857723577234
0.361944,0.372403,PSW,3990.4369918699185,4105.75
0.372403,0.385615,PSW,4105.75,4251.408536585366
0.574431,0.598102,PSW,6333.111788617886,6594.083333333334
0.669390,0.688107,PSW,7380.032520325203,7586.382113821139
0.264783,0.278821,Fibrillation,2919.2398373983738,3074.0020325203254
0.655628,0.671042,Fibrillation,7228.304878048781,7398.239837398374
0.538375,0.556541,Fibrillation,5935.585365853658,6135.865853658536
0.413139,0.428553,Fibrillation,4554.863821138211,4724.798780487805
0.115051,0.126611,Fibrillation,1268.4430894308944,1395.8943089430895
0.189367,0.201202,PSW,2087.7723577235774,2218.258130081301
0.121106,0.130189,PSW,1335.2032520325204,1435.3434959349593
0.549660,0.560119,PSW,6060.002032520325,6175.315040650406
0.660307,0.672418,PSW,7279.892276422765,7413.412601626016
0.421396,0.434883,PSW,4645.900406504065,4794.59349593496
0.862589,0.872869,Fibrillation,9510.054200542005,9623.384823848239
1.299735,1.308121,Fibrillation,14329.588075880758,14422.042005420055
1.141486,1.153659,Fibrillation,12584.892953929539,12719.10027100271
1.005419,1.015699,Fibrillation,11084.753387533874,11198.084010840108
0.950776,0.960514,PSW,10482.31165311653,10589.677506775068
1.304605,1.314613,PSW,14383.271002710027,14493.619241192413
1.217229,1.232108,PSW,13419.960704607045,13583.9918699187
1.104967,1.122821,PSW,12182.271002710027,12379.108401084011
1.013535,1.021920,PSW,11174.224932249323,11266.678861788618
1.429208,1.440901,Fibrillation,15757.024390243903,15885.934959349594
1.899834,1.911527,Fibrillation,20945.674796747968,21074.585365853658
1.716772,1.727369,Fibrillation,18927.418699186994,19044.243902439026
1.568057,1.581577,Fibrillation,17287.837398373984,17436.89024390244
1.437247,1.449305,PSW,15845.650406504064,15978.58943089431
1.455151,1.469036,PSW,16043.044715447155,16196.126016260163
1.477440,1.488767,PSW,16288.780487804877,16413.662601626016
1.957201,1.969259,PSW,21578.142276422765,21711.081300813006
1.970355,1.990817,PSW,21723.166666666668,21948.760162601626
1.794235,1.807024,PSW,19781.451219512193,19922.447154471545
1.760254,1.775966,PSW,19406.80487804878,19580.028455284555
1.727003,1.747465,PSW,19040.21544715447,19265.808943089432
1.577558,1.587423,PSW,17392.577235772358,17501.345528455284
1.454298,1.460875,Fibrillation,16033.644986449865,16106.157181571816
2.273015,2.282411,PSW,25059.9972899729,25163.588075880758
2.043881,2.057334,Fibrillation,22533.794715447155,22682.11788617886
2.364412,2.381283,Fibrillation,26067.653116531164,26253.64566395664
2.190373,2.207457,Fibrillation,24148.869241192413,24337.216124661245
2.211087,2.223686,PSW,24377.239837398374,24516.14566395664
2.110721,2.126310,PSW,23270.70189701897,23442.568428184284
2.200623,2.210446,PSW,24261.877371273713,24370.176829268294
1.906144,1.915754,PSW,21015.247967479674,21121.193089430893
2.374663,2.381283,PSW,26180.661246612464,26253.64566395664
2.447912,2.463808,PSW,26988.236449864497,27163.49051490515
2.680207,2.695255,PSW,29549.282520325203,29715.18970189702
2.645023,2.668337,PSW,29161.386856368565,29418.426151761516
2.474829,2.498779,PSW,27285.0,27549.04945799458
2.675968,2.684234,Fibrillation,29502.54810298103,29593.680216802168
2.513192,2.530996,Fibrillation,27707.946476964767,27904.231029810297
3.132341,3.151970,PSW,34534.06775067751,34750.471544715445
2.958608,2.971764,PSW,32618.663956639568,32763.70054200542
2.906390,2.924328,PSW,32042.957994579945,32240.722222222223
3.240375,3.259594,PSW,35725.139566395665,35937.0298102981
3.282657,3.295043,PSW,36191.29810298103,36327.849593495936
2.792571,2.812857,PSW,30788.096883468836,31011.758807588078
2.842113,2.856634,Fibrillation,31334.302845528455,31494.397696476964
3.165848,3.190832,Fibrillation,34903.47628726287,35178.933604336045
3.240802,3.249344,Fibrillation,35729.84823848239,35824.0216802168
3.005216,3.022960,Fibrillation,33132.51219512195,33328.13888888889
3.342126,3.356276,Fibrillation,36846.94308943089,37002.94918699187
3.349089,3.358747,PSW,36923.70799457995,37030.18834688347
3.359196,3.379635,PSW,37035.14092140921,37260.48306233062
3.459580,3.474485,Fibrillation,38141.87804878049,38306.20325203252
3.578097,3.590358,PSW,39448.528455284555,39583.69918699187
3.589877,3.601656,Fibrillation,39578.39837398374,39708.26829268293
3.925026,3.936376,Fibrillation,43273.41463414634,43398.55284552845
3.776816,3.791659,Fibrillation,41639.39837398374,41803.0406504065
3.496111,3.503315,PSW,38544.634146341465,38624.04878048781
3.501787,3.508117,PSW,38607.20325203252,38676.9918699187
3.766338,3.777471,PSW,41523.88617886179,41646.617886178865
3.803009,3.821999,PSW,41928.17886178862,42137.544715447155
3.935940,3.958204,PSW,43393.739837398374,43639.203252032516
4.392681,4.408924,PSW,48429.30894308943,48608.397018970194
4.025858,4.038607,PSW,44385.092140921406,44525.64227642276
4.130312,4.141621,PSW,45536.69647696477,45661.37804878049
4.266842,4.282675,Fibrillation,47041.9430894309,47216.497289972904
4.123321,4.131957,Fibrillation,45459.62059620596,45554.83197831978
4.424551,4.436683,Fibrillation,48780.68428184282,48914.433604336045
4.431748,4.440384,PSW,48860.02710027101,48955.238482384826
4.244636,4.265609,PSW,46797.11382113821,47028.34146341463
4.462598,4.470986,PSW,49200.149051490516,49292.628726287265
4.536371,4.563686,PSW,50013.49593495935,50314.64769647697
4.674884,4.684777,PSW,51540.59620596206,51649.67479674797
4.684777,4.700908,PSW,51649.67479674797,51827.52032520325
4.746936,4.767584,PSW,52334.97289972899,52562.61517615176
5.081603,5.100100,PSW,56024.67479674797,56228.60433604336
4.896633,4.915560,PSW,53985.37940379404,54194.0514905149
4.728439,4.739838,Fibrillation,52131.04336043361,52256.72086720867
5.018369,5.032779,Fibrillation,55327.52032520325,55486.39566395664
4.882007,4.892976,Fibrillation,53824.13279132791,53945.06775067751
4.562826,4.575946,Fibrillation,50305.16260162601,50449.81029810298
4.678970,4.682842,Fibrillation,51585.650406504064,51628.333333333336
