Start,End,Label,Start Sample,End Sample,len-1,mean-1,std-1,rms-1,mav-1,iEMG-1,wl-1,zcr-1,spec_entropy-1,median_freq-1,skew-1,kurtosis-1,len-2,mean-2,std-2,rms-2,mav-2,iEMG-2,wl-2,zcr-2,spec_entropy-2,median_freq-2,skew-2,kurtosis-2,len-3,mean-3,std-3,rms-3,mav-3,iEMG-3,wl-3,zcr-3,spec_entropy-3,median_freq-3,skew-3,kurtosis-3,len-4,mean-4,std-4,rms-4,mav-4,iEMG-4,wl-4,zcr-4,spec_entropy-4,median_freq-4,skew-4,kurtosis-4,len-5,mean-5,std-5,rms-5,mav-5,iEMG-5,wl-5,zcr-5,spec_entropy-5,median_freq-5,skew-5,kurtosis-5,len-6,mean-6,std-6,rms-6,mav-6,iEMG-6,wl-6,zcr-6,spec_entropy-6,median_freq-6,skew-6,kurtosis-6,len-7,mean-7,std-7,rms-7,mav-7,iEMG-7,wl-7,zcr-7,spec_entropy-7,median_freq-7,skew-7,kurtosis-7,len-8,mean-8,std-8,rms-8,mav-8,iEMG-8,wl-8,zcr-8,spec_entropy-8,median_freq-8,skew-8,kurtosis-8,len-9,mean-9,std-9,rms-9,mav-9,iEMG-9,wl-9,zcr-9,spec_entropy-9,median_freq-9,skew-9,kurtosis-9,len-10,mean-10,std-10,rms-10,mav-10,iEMG-10,wl-10,zcr-10,spec_entropy-10,median_freq-10,skew-10,kurtosis-10,file
0.0,0.007814,PSW,0.0,86.15650406504065,9,-0.04326386,0.0030024452,0.04336792,0.04326386,0.38937473,0.022901919,0,1.3214045,4900.0,0.07510059,-1.1437957,9,-0.034003243,0.0019504393,0.034059133,0.034003243,0.30602917,0.0114727765,0,1.149954,2450.0,-0.3307821,-0.39119077,9,-0.04126628,0.001871799,0.041308712,0.04126628,0.37139654,0.010458831,0,0.96613324,2450.0,0.21816756,-0.42191863,9,-0.04306425,0.0031976234,0.04318281,0.04306425,0.38757828,0.0099117085,0,0.36541486,2450.0,-0.54122454,-1.2408007,9,-0.04403232,0.0018615597,0.04407166,0.04403232,0.3962909,0.013706282,0,0.84306556,4900.0,-0.14871332,-1.208662,9,-0.048476666,0.002261354,0.048529383,0.048476666,0.43629,0.011640377,0,1.0273753,2450.0,0.45248634,-0.49912667,8,-0.057904013,0.008607647,0.058540292,0.057904013,0.4632321,0.026290067,0,0.29555196,2756.25,-0.51665014,-0.9663706,8,-0.10535251,0.014478201,0.106342696,0.10535251,0.8428201,0.042709827,0,0.75081027,2756.25,0.40378562,-1.3350073,8,-0.11183476,0.0054619648,0.111968055,0.11183476,0.89467806,0.01544632,0,0.45301208,2756.25,0.36700955,-1.5017961,8,-0.08855465,0.0055741775,0.08872991,0.08855465,0.7084372,0.01783982,0,0.68622565,2756.25,-0.40960017,-0.792891,../data/Spontanaktivität/filtered_QD161095_segment_5.wav
0.10091,0.108385,PSW,1112.5426829268292,1194.9532520325204,9,-0.017883968,0.0018762926,0.017982125,0.017883968,0.16095571,0.01105996,0,0.7322259,2450.0,-0.002013962,-1.1323822,9,-0.015893683,0.0006513662,0.015907025,0.015893683,0.14304315,0.0044381097,0,1.109274,2450.0,0.66470736,-0.838233,8,-0.012315014,0.0012789635,0.01238125,0.012315014,0.098520115,0.007336527,0,1.076383,2756.25,-0.01174711,-0.9802551,8,-0.010860059,0.0022706331,0.011094894,0.010860059,0.086880475,0.0064224927,0,0.70216525,2756.25,-0.62772787,-1.0483154,8,-0.009310797,0.0003761106,0.00931839,0.009310797,0.074486375,0.0031744847,0,0.8959224,5512.5,-0.20350397,-0.6628392,8,-0.00890792,0.0012844093,0.009000041,0.00890792,0.07126336,0.0062706703,0,1.0006173,2756.25,-0.15678442,-1.2539103,8,-0.0042345347,0.0027784838,0.0050647072,0.0042345347,0.033876278,0.012454678,0,0.82672083,2756.25,0.27119353,-1.1864865,8,-0.0060216263,0.0037198276,0.0070779305,0.0060216263,0.04817301,0.012908479,0,0.5684513,2756.25,-1.0900488,-0.21429896,8,-0.031837717,0.0071137953,0.032622784,0.031837717,0.25470173,0.023111008,0,0.80486125,2756.25,0.7504897,-0.85125303,8,-0.029869111,0.001114441,0.029889895,0.029869111,0.23895289,0.005379323,0,1.1930482,5512.5,-1.5455987,1.542119,../data/Spontanaktivität/filtered_QD161095_segment_5.wav
0.098192,0.104648,PSW,1082.5752032520325,1153.7479674796748,8,-0.017069552,0.004037498,0.017540552,0.017069552,0.13655642,0.012196049,0,0.5665654,2756.25,-0.09436488,-1.2658902,7,-0.023708088,0.0011055066,0.023733849,0.023708088,0.16595662,0.004514076,0,0.56071335,3150.0,-0.014987703,-1.5545338,7,-0.023733692,0.00060433085,0.023741385,0.023733692,0.16613585,0.0015971325,0,0.5855956,3150.0,-0.51278555,-1.4437671,7,-0.020465089,0.00132429,0.02050789,0.020465089,0.14325562,0.0050610565,0,1.0564457,0.0,-1.1631933,0.3047278,7,-0.017087083,0.0013351094,0.017139165,0.017087083,0.11960959,0.0069828536,0,0.9840758,3150.0,0.35564217,-1.5118467,7,-0.017927716,0.0018319233,0.018021068,0.017927716,0.125494,0.0049765874,0,0.8948781,3150.0,-0.5525718,-1.466933,7,-0.014962717,0.0009895496,0.014995403,0.014962717,0.10473902,0.0053826636,0,0.9624045,3150.0,0.72455263,-0.3293333,7,-0.012275393,0.0014403373,0.012359605,0.012275393,0.085927755,0.006904195,0,0.9310198,3150.0,-0.39959526,-0.8286953,7,-0.010288343,0.0018103697,0.010446408,0.010288343,0.0720184,0.0054331264,0,0.78492475,3150.0,-0.85112464,-0.4249363,7,-0.009332852,0.00039720978,0.009341301,0.009332852,0.06532997,0.0026917588,0,0.86011034,3150.0,-0.03908795,-0.88329744,../data/Spontanaktivität/filtered_QD161095_segment_5.wav
0.129111,0.138964,PSW,1423.4552845528456,1532.0873983739837,11,0.0794416,0.0024568078,0.079479575,0.0794416,0.87385756,0.00910525,0,0.533258,2004.5454545454545,0.40452456,-1.2120526,11,0.081689484,0.0028643522,0.08173968,0.081689484,0.8985843,0.014028549,0,0.8856322,2004.5454545454545,0.50084376,-1.0401363,11,0.08758959,0.0026716827,0.08763033,0.08758959,0.9634855,0.011295348,0,0.65672284,2004.5454545454545,-0.33806333,-1.2127036,11,0.080235384,0.002006877,0.08026046,0.080235384,0.8825892,0.015275136,0,1.0030644,2004.5454545454545,-0.104746,-1.2439555,11,0.07540476,0.0021093069,0.07543426,0.07540476,0.8294524,0.008298129,0,0.54490566,2004.5454545454545,-0.3146014,-1.3817307,11,0.07185948,0.001695479,0.071879484,0.07185948,0.79045427,0.016534448,0,0.8808976,4009.090909090909,-0.6131246,0.05555272,11,0.06519815,0.0017159705,0.06522073,0.06519815,0.71717966,0.01091437,0,1.0902212,2004.5454545454545,-0.17317213,-0.18490314,11,0.0539477,0.0016718297,0.0539736,0.0539477,0.5934247,0.011789776,0,1.2394135,2004.5454545454545,0.59456575,0.38958764,11,0.056516346,0.0024597223,0.05656985,0.056516346,0.6216798,0.012706049,0,0.77384615,2004.5454545454545,-0.34347424,-1.2373474,10,0.06420566,0.0019598412,0.06423557,0.06420566,0.6420566,0.012278296,0,0.89065117,4410.0,-1.1665815,0.4176569,../data/Spontanaktivität/filtered_QD161095_segment_5.wav
0.151876,0.157652,PSW,1674.4329268292684,1738.1138211382113,7,0.06780116,0.0014303265,0.06781625,0.06780116,0.47460815,0.0061300993,0,0.8422492,3150.0,0.4089617,-1.0803409,7,0.06906508,0.002188438,0.06909975,0.06906508,0.48345557,0.008600123,0,0.6492342,3150.0,-0.16505398,-1.5418504,7,0.073971726,0.0032781644,0.07404432,0.073971726,0.51780206,0.00985834,0,0.35583362,3150.0,1.0356913,-0.27866006,7,0.08036532,0.0024705243,0.08040329,0.08036532,0.5625573,0.0064468086,0,0.7034049,3150.0,0.23286553,-1.6430756,6,0.07568557,0.0018471672,0.07570811,0.07568557,0.45411342,0.0050282776,0,0.72867304,3675.0,-0.09288095,-1.7145838,6,0.074206375,0.0020653552,0.07423511,0.074206375,0.44523823,0.0066147596,0,0.5497482,3675.0,-0.1265464,-1.6128721,6,0.07045031,0.0005089364,0.07045215,0.07045031,0.4227019,0.0016074553,0,0.64480907,3675.0,-0.10157112,-0.8353765,6,0.066370636,0.0018672008,0.06639689,0.066370636,0.39822382,0.006635368,0,0.8846332,3675.0,0.23688978,-1.4337981,6,0.06937906,0.0007991252,0.069383666,0.06937906,0.41627437,0.0040085986,0,0.88401043,3675.0,-0.31443214,-1.2069006,6,0.06660783,0.0018285787,0.06663292,0.06660783,0.399647,0.0045984983,0,0.6036298,3675.0,-0.1849889,-1.6319968,../data/Spontanaktivität/filtered_QD161095_segment_5.wav
0.156972,0.166825,PSW,1730.621951219512,1839.2540650406504,11,0.066943094,0.0017796076,0.06696675,0.066943094,0.736374,0.008773491,0,0.9354872,2004.5454545454545,-0.32177052,-1.4494797,11,0.06655767,0.0020852995,0.06659033,0.06655767,0.73213434,0.0077846646,0,0.80320716,2004.5454545454545,0.29184175,-1.4425925,11,0.063989125,0.0017577156,0.064013265,0.063989125,0.70388037,0.010382373,0,0.9655664,2004.5454545454545,0.3422448,-1.236536,11,0.06399833,0.0017401486,0.06402198,0.06399833,0.7039816,0.009313419,0,1.0079769,2004.5454545454545,-0.11819775,-1.4469076,11,0.060779437,0.0019153999,0.06080961,0.060779437,0.6685738,0.013497278,0,0.8418638,2004.5454545454545,-0.16447206,-0.912385,11,0.060589872,0.00044215765,0.060591478,0.060589872,0.6664886,0.0021835193,0,1.0023985,2004.5454545454545,0.07473529,-1.4164132,11,0.0578409,0.0026028873,0.057899438,0.0578409,0.6362499,0.009108342,0,0.7208982,2004.5454545454545,-0.4320374,-1.5814117,11,0.053888127,0.003634763,0.054010566,0.053888127,0.5927694,0.015982963,0,0.7398263,2004.5454545454545,-0.8405476,0.011473656,11,0.053609785,0.012006247,0.054937772,0.053609785,0.5897076,0.03534425,0,0.444563,2004.5454545454545,0.10232923,-1.5910919,10,0.05561618,0.010209817,0.056545552,0.05561618,0.5561618,0.032364473,0,0.36526042,2205.0,-0.196621,-1.1130058,../data/Spontanaktivität/filtered_QD161095_segment_5.wav
0.190269,0.199103,PSW,2097.723577235772,2195.1178861788617,10,0.004080695,0.002745288,0.0049181986,0.004080695,0.040806953,0.008663723,0,0.3185328,2205.0,0.90464014,-0.45091772,10,0.014729184,0.0016366759,0.014819836,0.014729184,0.14729184,0.008881312,0,0.9187719,2205.0,0.06069111,-1.3433666,10,0.008612229,0.0021286893,0.0088714035,0.008612229,0.08612229,0.009644745,0,1.0055451,2205.0,0.5420964,-0.8685994,10,0.006799908,0.0014501166,0.0069528115,0.006799908,0.06799908,0.013606183,0,1.0382783,4410.0,-0.19571388,-0.8330772,10,0.0047095492,0.0012848105,0.0048816586,0.0047095492,0.047095492,0.00968723,0,1.2617636,2205.0,0.29002142,-0.7678721,10,0.0054811067,0.00096173154,0.0055648414,0.0054811067,0.054811068,0.0057582855,0,1.1893003,2205.0,-1.4392909,1.4172068,10,-0.03982239,0.025197776,0.047124837,0.03982239,0.39822388,0.074165285,0,0.5876893,2205.0,0.10268996,-1.4278243,10,0.010888442,0.03879272,0.04029185,0.037357084,0.37357086,0.12885529,1,0.9298889,2205.0,-1.1997215,-0.19670868,9,0.0024947594,0.014856839,0.015064842,0.013592023,0.12232821,0.04075648,1,0.68277735,2450.0,0.10758239,-1.6321807,9,-0.030699011,0.005136091,0.031125693,0.030699011,0.2762911,0.015962217,0,0.52577406,2450.0,-0.07877316,-1.1094604,../data/Spontanaktivität/filtered_QD161095_segment_5.wav
0.206918,0.216431,PSW,2281.2743902439024,2386.160569105691,11,-0.008498058,0.02206231,0.023642387,0.021281661,0.23409827,0.061562873,1,0.56443113,2004.5454545454545,0.13774547,-1.550559,11,-0.05845944,0.008282988,0.059043318,0.05845944,0.6430538,0.028153028,0,0.49257588,2004.5454545454545,0.24447323,-0.86241484,11,-0.06663588,0.005452487,0.06685857,0.06663588,0.7329947,0.017952982,0,0.47938102,2004.5454545454545,-0.046420675,-1.1550812,11,-0.044777066,0.004928256,0.04504746,0.044777066,0.49254772,0.017610233,0,0.36838114,2004.5454545454545,0.13479973,-0.63075256,11,-0.032458927,0.003378153,0.032634243,0.032458927,0.3570482,0.010107808,0,0.7285053,2004.5454545454545,0.8109882,-1.0807291,10,-0.022360345,0.003711722,0.022666316,0.022360345,0.22360346,0.014202768,0,0.8473249,2205.0,-0.3754099,-1.3897752,10,-0.013560042,0.004360071,0.014243769,0.013560042,0.13560042,0.013647379,0,0.8670329,2205.0,-1.0524766,-0.30707955,10,-0.0061472366,0.0028580208,0.006779145,0.0061472366,0.061472364,0.015693944,0,1.106417,4410.0,0.33210653,-0.53641057,10,0.000933797,0.0005845043,0.0011016453,0.00095558155,0.009555816,0.005723032,2,1.1607147,4410.0,-0.5125152,-1.0427891,10,0.0011001352,0.0012497873,0.0016650122,0.0013444618,0.013444618,0.008501932,2,0.83746177,2205.0,0.32998762,-0.78222656,../data/Spontanaktivität/filtered_QD161095_segment_5.wav
0.251088,0.258562,PSW,2768.2459349593496,2850.6565040650407,9,-0.008101758,0.0028748182,0.008596688,0.008101758,0.07291582,0.014013724,0,1.0566126,2450.0,0.19486633,-1.2801734,9,-0.0055823578,0.0030881146,0.00637959,0.0055823578,0.05024122,0.012848645,0,1.13205,2450.0,-0.65084565,-1.1969845,8,-0.0013275389,0.0018167695,0.0022501135,0.001783655,0.01426924,0.00900941,2,1.0882934,2756.25,-0.15697941,-1.2178825,8,-0.0014471072,0.00163102,0.0021804462,0.0017661909,0.014129527,0.010835722,2,0.87478787,2756.25,-0.1712396,-1.007873,8,0.0030214922,0.0014742764,0.0033619795,0.003052452,0.024419617,0.006779693,1,0.9562106,2756.25,-0.9232625,-0.0004143715,8,0.005549453,0.0020200906,0.0059056915,0.005549453,0.044395626,0.011448296,0,1.0321918,2756.25,0.17355481,-1.2996517,8,0.009140542,0.0033915213,0.009749456,0.009140542,0.073124334,0.016999071,0,1.0147506,2756.25,-0.55427617,-0.46801233,8,0.009439455,0.0015863252,0.0095718205,0.009439455,0.07551564,0.0046084784,0,0.5315789,2756.25,1.1132034,-0.2708323,8,0.010698234,0.0027521746,0.011046568,0.010698234,0.08558587,0.014063958,0,0.94837224,2756.25,-0.1863104,-1.4389344,8,0.012339572,0.0013594046,0.012414227,0.012339572,0.09871658,0.0069496827,0,0.86083865,2756.25,-0.73773813,-0.5740483,../data/Spontanaktivität/filtered_QD161095_segment_5.wav
0.262979,0.269095,PSW,2899.353658536585,2966.7804878048782,7,-0.05060222,0.004306249,0.050785117,0.05060222,0.35421553,0.011635236,0,0.7704343,3150.0,0.3893392,-1.4518957,7,-0.05457514,0.0039549484,0.05471826,0.05457514,0.382026,0.015120976,0,0.5867346,3150.0,0.91523945,-0.47125578,7,-0.038292978,0.0021209165,0.038351674,0.038292978,0.26805085,0.0093483105,0,0.89577985,3150.0,-1.0738872,0.07807493,7,-0.03457224,0.0045140237,0.03486569,0.03457224,0.24200569,0.012157988,0,0.457059,3150.0,0.2828392,-1.444822,7,-0.025844188,0.0018037407,0.025907055,0.025844188,0.18090932,0.006026853,0,0.53467065,3150.0,0.6228114,-1.222877,7,-0.022366032,0.0010467666,0.022390515,0.022366032,0.15656222,0.0036123674,0,0.21276015,3150.0,1.0429304,0.08321118,7,-0.012254497,0.0023344432,0.0124748675,0.012254497,0.08578148,0.009018997,0,0.9012254,3150.0,-1.1758559,0.12550235,6,-0.010085857,0.0007406418,0.010113015,0.010085857,0.06051514,0.0024400316,0,0.93227285,3675.0,-1.1152223,-0.19090915,6,-0.0075208806,0.0004996376,0.0075374586,0.0075208806,0.045125283,0.0014253538,0,0.79545635,3675.0,-1.16178,-0.12679458,6,-0.00035232413,0.0037143256,0.0037309981,0.0032973338,0.019784003,0.010237502,1,0.7241383,3675.0,-0.38664714,-1.3549808,../data/Spontanaktivität/filtered_QD161095_segment_5.wav
