Start,End,Label,Start Sample,End Sample,mean,std,rms,mav,iEMG,wl,zcr,spec_entropy,median_freq,skew,kurtosis,file
0.037708,0.047617,PSW,415.7337398373984,524.9776422764228,-0.0066335523,0.0033054068,0.0074114595,0.0066577033,0.72568965,0.11847192,4,2.5627232,1011.467889908257,-0.01952496584821432,-0.6119556889183739,.\Spontanaktivität\filtered_RN181281_segment_3.wav
0.047617,0.060002,PSW,524.9776422764228,661.5325203252032,-0.0022864726,0.004317409,0.0048854863,0.0041600093,0.56992126,0.14830649,8,2.53826,482.8467153284672,0.6698683553807806,-0.0270996454744159,.\Spontanaktivität\filtered_RN181281_segment_3.wav
0.167622,0.180284,PSW,1848.0426829268288,1987.6321138211383,-0.036953267,0.0035503504,0.037123427,0.036953267,5.136504,0.14006963,0,2.0058634,317.2661870503597,0.21120812475093798,-0.6644112363732315,.\Spontanaktivität\filtered_RN181281_segment_3.wav
0.200101,0.214964,PSW,2206.119918699187,2369.985772357724,-0.030655462,0.003637556,0.030870523,0.030655462,4.9968405,0.16823101,0,2.7864542,811.6564417177913,0.2616662367799265,-0.369845739803075,.\Spontanaktivität\filtered_RN181281_segment_3.wav
0.361944,0.372403,PSW,3990.436991869919,4105.75,0.01833191,0.011117066,0.021439405,0.01833191,2.1081696,0.1391717,0,1.2791045,191.7391304347826,0.5897874572625749,-1.062481895178496,.\Spontanaktivität\filtered_RN181281_segment_3.wav
0.372403,0.385615,PSW,4105.75,4251.408536585366,0.024281247,0.011000527,0.026656905,0.025466759,3.7181468,0.20181209,3,1.3478597,151.02739726027397,-2.2172835233285517,6.616354545891582,.\Spontanaktivität\filtered_RN181281_segment_3.wav
0.574431,0.598102,PSW,6333.111788617886,6594.083333333334,-0.02490514,0.0036234923,0.025167352,0.02490514,6.5002413,0.3094821,0,3.1192715,344.53125,-0.19299961151461448,-0.3473212486539565,.\Spontanaktivität\filtered_RN181281_segment_3.wav
0.66939,0.688107,PSW,7380.032520325203,7586.382113821139,0.006909558,0.0029552893,0.007515033,0.006909558,1.4233689,0.20927212,0,2.7045786,428.15533980582524,0.2289980560451466,-0.14921595916243824,.\Spontanaktivität\filtered_RN181281_segment_3.wav
0.264783,0.278821,Fibrillation,2919.2398373983738,3074.002032520325,-0.021824837,0.0035908695,0.022118269,0.021824837,3.3828497,0.1718015,0,2.2256966,284.51612903225805,0.47512961201866594,0.8272969151154053,.\Spontanaktivität\filtered_RN181281_segment_3.wav
0.655628,0.671042,Fibrillation,7228.304878048781,7398.239837398374,-0.0003808125,0.004876884,0.0048917294,0.004098672,0.69677424,0.18206587,13,2.5568295,259.4117647058824,0.13219831970797596,-0.7699334669231517,.\Spontanaktivität\filtered_RN181281_segment_3.wav
0.538375,0.556541,Fibrillation,5935.585365853658,6135.865853658536,-0.032784693,0.049712427,0.059549656,0.055602156,11.120431,0.5861987,2,1.4384822,220.5,2.0079241988565633,3.042142762800192,.\Spontanaktivität\filtered_RN181281_segment_3.wav
0.413139,0.428553,Fibrillation,4554.863821138211,4724.798780487805,0.04796519,0.07506693,0.08908257,0.08300846,14.111438,0.56511635,2,0.7849836,129.7058823529412,-1.3044618094207583,0.4233024209213374,.\Spontanaktivität\filtered_RN181281_segment_3.wav
0.115051,0.126611,Fibrillation,1268.4430894308944,1395.8943089430895,0.04293879,0.0033329816,0.04306795,0.04293879,5.4532266,0.14235985,0,2.559988,2083.464566929134,1.2457968504434342,4.305452325092791,.\Spontanaktivität\filtered_RN181281_segment_3.wav
0.189367,0.201202,PSW,2087.772357723577,2218.258130081301,-0.034483064,0.0032975986,0.03464038,0.034483064,4.5172815,0.11849949,0,2.4020877,504.96183206106866,0.2185231788375654,-0.5274642586856215,.\Spontanaktivität\filtered_RN181281_segment_3.wav
0.121106,0.130189,PSW,1335.2032520325204,1435.3434959349593,0.044221714,0.0034811753,0.044358525,0.044221714,4.4221716,0.12215015,0,1.9462267,441.0,-0.3321417886012815,-0.12573026108337393,.\Spontanaktivität\filtered_RN181281_segment_3.wav
