Start,End,Label,Start Sample,End Sample
0.165778,0.170518,Fibrillation,1827.7073170731708,1879.970189701897
0.301353,0.307854,Fibrillation,3322.4254742547428,3394.10027100271
0.438554,0.444920,Fibrillation,4835.0623306233065,4905.243902439024
0.578734,0.585506,Fibrillation,6380.550135501355,6455.211382113821
0.860043,0.868169,Fibrillation,9481.978319783198,9571.571815718156
0.754239,0.760331,Fibrillation,8315.487804878048,8382.658536585366
0.718586,0.723776,Fibrillation,7922.414634146341,7979.634146341464
0.335890,0.342662,Fibrillation,3703.1978319783198,3777.859078590786
0.681939,0.690404,Fibrillation,7518.387533875339,7611.714092140921
0.378554,0.384649,Fibrillation,4173.5636856368565,4240.758807588076
0.090744,0.098193,PSW,1000.4607046070461,1082.5880758807589
0.066704,0.070767,PSW,735.4132791327913,780.210027100271
0.069412,0.074491,PSW,765.2777777777778,821.2737127371274
0.805190,0.810946,Fibrillation,8877.222222222223,8940.68428184282
0.553272,0.559705,Fibrillation,6099.823848238482,6170.752032520325
0.555980,0.560382,PSW,6129.6883468834685,6178.218157181572
0.561736,0.567493,PSW,6193.150406504065,6256.612466124661
0.546161,0.552933,PSW,6021.429539295393,6096.090785907859
0.430360,0.436793,Fibrillation,4744.722222222223,4815.650406504065
0.433407,0.439502,PSW,4778.319783197832,4845.514905149052
0.272911,0.277313,Fibrillation,3008.8482384823847,3057.378048780488
0.281037,0.286116,Fibrillation,3098.4417344173444,3154.437669376694
0.826183,0.831939,PSW,9108.672086720868,9172.134146341463
0.172008,0.178442,PSW,1896.3956639566395,1967.3238482384825
0.032844,0.039277,PSW,362.1070460704607,433.03523035230353
0.509970,0.521234,Fibrillation,5622.421409214092,5746.611111111111
0.916004,0.924886,Fibrillation,10098.948509485095,10196.869241192413
1.029821,1.038703,Fibrillation,11353.78455284553,11451.705284552845
1.040348,1.049558,Fibrillation,11469.838753387534,11571.386178861789
1.068638,1.075874,Fibrillation,11781.734417344174,11861.521680216802
1.065019,1.071598,PSW,11741.84078590786,11814.374661246613
1.090019,1.096598,PSW,12017.469512195123,12090.003387533876
1.359431,1.364694,PSW,14987.731707317074,15045.758807588076
1.364694,1.370286,PSW,15045.758807588076,15107.412601626016
1.106138,1.112059,Fibrillation,12195.177506775068,12260.457994579945
1.169297,1.177192,Fibrillation,12891.5027100271,12978.543360433603
1.187389,1.196271,Fibrillation,13090.97086720867,13188.89159891599
1.205153,1.213705,Fibrillation,13286.812330623306,13381.106368563685
1.336075,1.341997,Fibrillation,14730.236449864498,14795.516937669378
1.339036,1.344299,PSW,14762.876693766939,14820.90379403794
1.477854,1.485419,PSW,16293.341463414634,16376.7554200542
1.539039,1.546605,PSW,16967.90650406504,17051.320460704606
1.595947,1.601868,PSW,17595.324525745258,17660.605013550135
1.592000,1.598250,PSW,17551.804200542007,17620.71138211382
1.623908,1.629171,PSW,17903.59349593496,17961.62059620596
1.658119,1.664698,Fibrillation,18280.769647696477,18353.303523035233
1.666672,1.672922,Fibrillation,18375.06368563686,18443.97086720867
1.466087,1.470598,Fibrillation,16163.619918699187,16213.34349593496
0.955149,0.962057,PSW,10530.525067750677,10606.685636856368
0.995281,1.004163,PSW,10972.981707317073,11070.90243902439
1.008439,1.014360,PSW,11118.04945799458,11183.329945799458
1.156797,1.162718,PSW,12753.688346883468,12818.968834688347
1.428220,1.433456,Fibrillation,15746.128726287263,15803.863143631435
1.437057,1.443603,PSW,15843.555555555555,15915.723577235773
1.572229,1.577465,PSW,17333.825203252032,17391.559620596207
1.577465,1.584666,PSW,17391.559620596207,17470.944444444445
1.546045,1.551936,Fibrillation,17045.153116531164,17110.10433604336
1.741439,1.750276,PSW,19199.36856368564,19296.79539295393
1.777114,1.781696,PSW,19592.68428184282,19643.20189701897
1.782350,1.788242,PSW,19650.418699186994,19715.369918699187
1.312031,1.318577,PSW,14465.146341463415,14537.314363143632
1.281265,1.288793,PSW,14125.956639566397,14208.949864498645
1.495642,1.502515,PSW,16489.459349593497,16565.235772357722
1.155616,1.160127,Fibrillation,12740.672764227642,12790.40108401084
1.790803,1.799114,Fibrillation,19743.60569105691,19835.2337398374
1.711387,1.720006,PSW,18868.048780487807,18963.070460704606
1.945940,1.952712,PSW,21453.99593495935,21528.655826558264
1.953020,1.960100,PSW,21532.04945799458,21610.10298102981
1.944093,1.949634,Fibrillation,21433.634146341465,21494.719512195123
1.937014,1.942554,Fibrillation,21355.580623306232,21416.66598915989
2.016737,2.023201,PSW,22234.53116531165,22305.797425474255
1.829279,1.836975,PSW,20167.809620596207,20252.650406504064
1.892689,1.898845,PSW,20866.897696476964,20934.77032520325
1.898537,1.906232,PSW,20931.376693766935,21016.217479674797
1.628278,1.635050,PSW,17951.768292682926,18026.428184281842
2.107365,2.112343,PSW,23233.70189701897,23288.585365853658
2.111098,2.116076,PSW,23274.864498644987,23329.747967479674
2.159012,2.168969,PSW,23803.11788617886,23912.88482384824
2.031449,2.037671,Fibrillation,22396.728997289974,22465.333333333336
2.025537,2.033627,PSW,22331.55487804878,22420.74051490515
2.085897,2.092119,PSW,22997.016937669378,23065.621273712735
2.143456,2.151545,PSW,23631.60704607046,23720.79268292683
2.153101,2.158701,Fibrillation,23737.94376693767,23799.687669376694
2.133189,2.139411,Fibrillation,23518.409891598916,23587.014227642278
1.930331,1.935621,Fibrillation,21281.908536585368,21340.222222222223
1.911352,1.916953,Fibrillation,21072.665311653116,21134.409214092142
1.986646,1.994424,PSW,21902.777777777777,21988.533197831977
1.490392,1.495993,Fibrillation,16431.581978319784,16493.325880758806
2.309846,2.320519,Fibrillation,25466.060975609755,25583.728997289974
2.421478,2.428978,Fibrillation,26696.80487804878,26779.49051490515
2.453208,2.461862,PSW,27046.628726287265,27142.035230352303
2.404171,2.411671,PSW,26505.9918699187,26588.677506775068
2.397825,2.405325,Fibrillation,26436.027100271003,26518.71273712737
2.292827,2.298885,Fibrillation,25278.428184281842,25345.21273712737
2.298020,2.308116,PSW,25335.672086720868,25446.97967479675
2.215810,2.224464,Fibrillation,24429.31029810298,24524.716802168023
2.429267,2.435901,PSW,26782.670731707316,26855.81571815718
2.274366,2.282443,Fibrillation,25074.89430894309,25163.940379403793
2.179465,2.185811,PSW,24028.60298102981,24098.567750677506
2.368403,2.375326,PSW,26111.644986449865,26187.970189701897
2.385133,2.391191,PSW,26296.09756097561,26362.88211382114
2.488176,2.494455,Fibrillation,27432.14295392954,27501.367208672087
2.521328,2.526602,Fibrillation,27797.64701897019,27855.79539295393
2.645649,2.652430,Fibrillation,29168.28726287263,29243.04945799458
2.660970,2.667248,Fibrillation,29337.194444444445,29406.418699186994
2.560006,2.566033,PSW,28224.068428184284,28290.52371273713
2.591651,2.598432,PSW,28572.958672086723,28647.72086720867
2.611492,2.618525,PSW,28791.70731707317,28869.238482384826
2.673778,2.678048,PSW,29478.411924119242,29525.484417344174
2.679555,2.683573,PSW,29542.098238482384,29586.401761517616
2.692866,2.699647,PSW,29688.853658536587,29763.615853658535
2.527607,2.531374,PSW,27866.871273712735,27908.405826558264
2.530118,2.534890,PSW,27894.560975609755,27947.17140921409
2.571308,2.578089,PSW,28348.672086720868,28423.43428184282
2.472855,2.478632,Fibrillation,27263.235772357722,27326.922086720868
2.768903,2.776952,Fibrillation,30527.161924119242,30615.90514905149
3.320803,3.329552,Fibrillation,36611.860433604335,36708.32046070461
3.325703,3.332352,PSW,36665.87804878049,36739.1876693767
3.338302,3.342851,PSW,36804.78048780488,36854.93970189702
3.342501,3.347401,PSW,36851.081300813006,36905.09891598916
3.423694,3.429993,PSW,37746.23035230352,37815.681571815716
3.212313,3.218612,PSW,35415.756097560974,35485.207317073175
3.278457,3.285456,PSW,36144.993902439026,36222.16192411924
3.273907,3.279857,Fibrillation,36094.834688346884,36160.42750677507
3.228062,3.234011,Fibrillation,35589.384146341465,35654.97696476965
3.366649,3.376098,Fibrillation,37117.310975609755,37221.48780487805
3.076175,3.083525,Fibrillation,33914.83807588076,33995.86449864499
3.146519,3.153168,Fibrillation,34690.376693766935,34763.68631436314
3.152118,3.157718,PSW,34752.11111111111,34813.845528455284
3.165417,3.175916,PSW,34898.73035230352,35014.482384823845
3.184665,3.190615,PSW,35110.942411924116,35176.5352303523
3.201464,3.208113,PSW,35296.14566395664,35369.455284552845
