Start,End,Label,Start Sample,End Sample
0.000000,0.008993,PSW,0.0,99.15311653116531
0.008993,0.020145,PSW,99.15311653116531,222.1029810298103
0.021584,0.034534,PSW,237.96747967479675,380.7479674796748
0.126628,0.141377,PSW,1396.0758807588077,1558.6869918699188
0.156126,0.171235,PSW,1721.2981029810298,1887.8753387533875
0.235269,0.243543,PSW,2593.8455284552847,2685.0663956639564
0.243543,0.253256,PSW,2685.0663956639564,2792.1517615176153
0.256853,0.264408,PSW,2831.8130081300815,2915.10162601626
0.271962,0.285273,PSW,2998.390243902439,3145.1368563685637
0.291388,0.299303,PSW,3212.560975609756,3299.8157181571814
0.305058,0.315491,PSW,3363.2737127371274,3478.291327913279
0.324844,0.338154,PSW,3581.410569105691,3728.1571815718157
0.352904,0.365495,PSW,3890.768292682927,4029.582655826558
0.391755,0.400749,PSW,4319.109756097561,4418.262872628727
0.441399,0.454710,PSW,4866.434959349594,5013.181571815719
0.484928,0.496440,PSW,5346.336043360434,5473.252032520325
0.508311,0.517664,PSW,5604.134146341464,5707.253387533875
0.569826,0.581338,PSW,6282.341463414634,6409.257452574526
0.612635,0.624147,PSW,6754.310298102981,6881.226287262873
0.626305,0.632781,PSW,6905.023035230352,6976.413279132791
0.632781,0.640695,PSW,6976.413279132791,7063.668021680217
0.726673,0.735306,PSW,8011.571815718157,8106.758807588076
0.766244,0.777756,PSW,8447.845528455284,8574.761517615176
0.782432,0.796822,PSW,8626.321138211382,8784.966124661247
0.825241,0.838192,PSW,9098.289972899729,9241.070460704606
0.840710,0.850063,PSW,9268.833333333334,9371.952574525745
0.925249,0.935321,PSW,10200.872628726287,10311.924119241194
0.959784,0.971655,PSW,10581.620596205961,10712.5027100271
0.984965,1.002593,PSW,10859.249322493226,11053.58943089431
1.016622,1.024896,PSW,11208.268292682926,11299.4891598916
1.032451,1.042524,PSW,11382.777777777777,11493.829268292684
1.040006,1.050078,PSW,11466.066395663956,11577.117886178861
0.670194,0.675949,Fibrillation,7388.890243902439,7452.348238482385
0.674151,0.679547,PSW,7432.517615176152,7492.009485094851
0.939998,0.948632,PSW,10363.483739837398,10458.670731707316
