Start,End,Label,Start Sample,End Sample
0.048527,0.058743,PSW,535.0121951219512,647.6463414634146
0.063851,0.080311,PSW,703.9634146341464,885.4295392953929
0.094500,0.108973,PSW,1041.8658536585365,1201.4308943089432
0.173960,0.197514,PSW,1917.909214092141,2177.5934959349593
0.226743,0.235541,PSW,2499.852303523035,2596.8428184281843
0.239230,0.246892,PSW,2637.5162601626016,2721.991869918699
0.288325,0.306203,PSW,3178.7859078590786,3375.8956639566395
0.274136,0.293149,PSW,3022.349593495935,3231.9742547425476
0.308757,0.320392,PSW,3404.054200542005,3532.331978319783
0.351893,0.362109,PSW,3879.620596205962,3992.2547425474254
0.367217,0.373176,PSW,4048.5718157181573,4114.275067750677
0.387082,0.399852,PSW,4267.582655826558,4408.375338753388
0.371474,0.378285,Fibrillation,4095.5027100271004,4170.592140921409
0.353595,0.360406,Fibrillation,3898.392953929539,3973.4823848238484
0.227027,0.234689,Fibrillation,2502.981029810298,2587.4566395663956
0.246325,0.249730,Fibrillation,2715.7344173441734,2753.279132791328
0.120324,0.129122,Fibrillation,1326.579945799458,1423.570460704607
0.131108,0.142176,PSW,1445.4715447154472,1567.4918699186992
0.513650,0.527271,PSW,5662.994579945799,5813.173441734418
0.527271,0.544015,PSW,5813.173441734418,5997.768292682927
0.546001,0.559623,PSW,6019.669376693767,6169.848238482385
0.646461,0.662069,PSW,7127.238482384824,7299.318428184282
0.765083,0.783813,PSW,8435.046070460705,8641.542005420055
0.614110,0.623474,Fibrillation,6770.5636856368565,6873.811653116531
0.623474,0.635393,Fibrillation,6873.811653116531,7005.218157181572
0.753448,0.763097,Fibrillation,8306.768292682927,8413.144986449865
0.697826,0.710029,Fibrillation,7693.537940379403,7828.073170731707
0.485271,0.495204,Fibrillation,5350.121951219512,5459.627371273713
0.496623,0.502298,Fibrillation,5475.2710027100275,5537.845528455285
0.792043,0.807651,PSW,8732.275067750677,8904.355013550135
0.582893,0.596231,PSW,6426.40379403794,6573.453929539295
0.499744,0.508258,PSW,5509.6869918699185,5603.548780487805
0.409642,0.430645,PSW,4516.310298102981,4747.861788617886
0.440338,0.458109,PSW,4854.7317073170725,5050.659891598916
0.739865,0.751174,PSW,8157.012195121952,8281.69376693767
0.858770,0.880096,PSW,9467.949864498645,9703.063685636856
0.887528,0.900129,PSW,9784.9972899729,9923.928184281842
1.010311,1.026467,PSW,11138.682926829268,11316.79945799458
1.007403,1.015804,Fibrillation,11106.621951219513,11199.242547425474
0.878804,0.885912,Fibrillation,9688.814363143632,9767.185636856368
0.896575,0.906591,Fibrillation,9884.742547425474,9995.174796747968
1.089151,1.099167,Fibrillation,12007.89159891599,12118.323848238482
1.131713,1.144117,PSW,12477.142953929539,12613.89430894309
1.144117,1.161837,PSW,12613.89430894309,12809.253387533876
1.208262,1.237322,PSW,13321.094173441736,13641.483062330622
1.249017,1.273825,PSW,13770.420054200542,14043.922764227642
1.355260,1.372321,PSW,14941.743902439024,15129.846883468836
1.374260,1.392485,PSW,15151.222222222223,15352.150406504064
1.493303,1.514242,PSW,16463.668021680216,16694.521680216803
1.467710,1.482058,Fibrillation,16181.513550135502,16339.69105691057
1.514242,1.526650,Fibrillation,16694.521680216803,16831.323848238484
0.721658,0.733678,PSW,7956.283197831978,8088.810298102981
1.112521,1.125317,PSW,12265.551490514905,12406.628726287263
1.624793,1.645290,PSW,17913.345528455284,18139.329268292684
1.648706,1.662798,PSW,18176.99322493225,18332.35704607046
1.699096,1.715323,PSW,18732.536585365855,18911.440379403793
1.600879,1.612409,PSW,17649.69783197832,17776.81368563686
1.449284,1.463803,PSW,15978.359756097561,16138.431571815718
